agent_id,box_x,box_y,box_size,pheromone
pipuck1,-1.28906,-3.52344,0.171875,0.321157,
pipuck1,-1.11719,-3.52344,0.171875,0.732557,
pipuck1,-1.28906,-3.69531,0.171875,0.603162,
pipuck1,-1.11719,-3.69531,0.171875,0.715139,
pipuck1,-0.859375,-3.60938,0.34375,0.692014,
pipuck1,-1.28906,-3.86719,0.171875,0.669747,
pipuck1,-1.11719,-3.86719,0.171875,0.701188,
pipuck1,-1.28906,-4.03906,0.171875,0.619932,
pipuck1,-1.11719,-4.03906,0.171875,0.736417,
pipuck1,-0.945312,-3.86719,0.171875,0.686407,
pipuck1,-0.773438,-3.86719,0.171875,0.730685,
pipuck1,-0.945312,-4.03906,0.171875,0.731561,
pipuck1,-0.773438,-4.03906,0.171875,0.817096,
pipuck1,-0.601562,-3.52344,0.171875,0.705662,
pipuck1,-0.429688,-3.52344,0.171875,0.75022,
pipuck1,-0.601562,-3.69531,0.171875,0.770266,
pipuck1,-0.429688,-3.69531,0.171875,0.811813,
pipuck1,-0.171875,-3.60938,0.34375,0.682165,
pipuck1,-0.601562,-3.86719,0.171875,0.758496,
pipuck1,-0.429688,-3.86719,0.171875,0.757026,
pipuck1,-0.601562,-4.03906,0.171875,0.843776,
pipuck1,-0.429688,-4.03906,0.171875,0.862646,
pipuck1,-0.257812,-3.86719,0.171875,0.691744,
pipuck1,-0.0859375,-3.86719,0.171875,0.82997,
pipuck1,-0.257812,-4.03906,0.171875,0.841199,
pipuck1,-0.0859375,-4.03906,0.171875,0.706508,
pipuck1,-2.66406,-4.21094,0.171875,0.51629,
pipuck1,-2.49219,-4.21094,0.171875,0.524427,
pipuck1,-2.66406,-4.38281,0.171875,0.516272,
pipuck1,-2.49219,-4.38281,0.171875,0.516272,
pipuck1,-2.32031,-4.21094,0.171875,0.547928,
pipuck1,-2.14844,-4.21094,0.171875,0.525323,
pipuck1,-2.32031,-4.38281,0.171875,0.548673,
pipuck1,-2.14844,-4.38281,0.171875,0.556717,
pipuck1,-2.66406,-4.55469,0.171875,0.632934,
pipuck1,-2.49219,-4.55469,0.171875,0.759662,
pipuck1,-2.66406,-4.72656,0.171875,0.592277,
pipuck1,-2.49219,-4.72656,0.171875,0.508139,
pipuck1,-2.32031,-4.55469,0.171875,0.807747,
pipuck1,-2.14844,-4.55469,0.171875,0.831681,
pipuck1,-2.32031,-4.72656,0.171875,0.508139,
pipuck1,-2.14844,-4.72656,0.171875,0.570073,
pipuck1,-1.97656,-4.21094,0.171875,0.514655,
pipuck1,-1.80469,-4.21094,0.171875,0.522019,
pipuck1,-1.97656,-4.38281,0.171875,0.556741,
pipuck1,-1.80469,-4.38281,0.171875,0.57197,
pipuck1,-1.63281,-4.21094,0.171875,0.572243,
pipuck1,-1.46094,-4.21094,0.171875,0.595638,
pipuck1,-1.63281,-4.38281,0.171875,0.619121,
pipuck1,-1.46094,-4.38281,0.171875,0.704887,
pipuck1,-1.97656,-4.55469,0.171875,0.831681,
pipuck1,-1.80469,-4.55469,0.171875,0.831681,
pipuck1,-1.97656,-4.72656,0.171875,0.607206,
pipuck1,-1.80469,-4.72656,0.171875,0.602001,
pipuck1,-1.63281,-4.55469,0.171875,0.831681,
pipuck1,-1.46094,-4.55469,0.171875,0.792449,
pipuck1,-1.63281,-4.72656,0.171875,0.56769,
pipuck1,-1.46094,-4.72656,0.171875,0.600269,
pipuck1,-2.66406,-4.89844,0.171875,0.106431,
pipuck1,-2.49219,-4.89844,0.171875,0.453886,
pipuck1,-2.32031,-4.89844,0.171875,0.447749,
pipuck1,-2.14844,-4.89844,0.171875,0.404672,
pipuck1,-1.97656,-4.89844,0.171875,0.344458,
pipuck1,-1.80469,-4.89844,0.171875,0.316049,
pipuck1,-1.63281,-4.89844,0.171875,0.128874,
pipuck1,-1.46094,-4.89844,0.171875,0.0670403,
pipuck1,-1.28906,-4.21094,0.171875,0.63419,
pipuck1,-1.11719,-4.21094,0.171875,0.583149,
pipuck1,-1.28906,-4.38281,0.171875,0.790356,
pipuck1,-1.11719,-4.38281,0.171875,0.615718,
pipuck1,-0.945312,-4.21094,0.171875,0.61016,
pipuck1,-0.773438,-4.21094,0.171875,0.86163,
pipuck1,-0.945312,-4.38281,0.171875,0.626928,
pipuck1,-0.773438,-4.38281,0.171875,0.73086,
pipuck1,-1.28906,-4.55469,0.171875,0.834614,
pipuck1,-1.11719,-4.55469,0.171875,0.837499,
pipuck1,-1.28906,-4.72656,0.171875,0.70137,
pipuck1,-1.11719,-4.72656,0.171875,0.576509,
pipuck1,-0.945312,-4.55469,0.171875,0.840345,
pipuck1,-0.773438,-4.55469,0.171875,0.842206,
pipuck1,-0.945312,-4.72656,0.171875,0.606387,
pipuck1,-0.773438,-4.72656,0.171875,0.636704,
pipuck1,-0.601562,-4.21094,0.171875,0.80048,
pipuck1,-0.429688,-4.21094,0.171875,0.740282,
pipuck1,-0.601562,-4.38281,0.171875,0.681389,
pipuck1,-0.429688,-4.38281,0.171875,0.681709,
pipuck1,-0.257812,-4.21094,0.171875,0.757114,
pipuck1,-0.0859375,-4.21094,0.171875,0.783607,
pipuck1,-0.257812,-4.38281,0.171875,0.660506,
pipuck1,-0.0859375,-4.38281,0.171875,0.677879,
pipuck1,-0.601562,-4.55469,0.171875,0.798362,
pipuck1,-0.429688,-4.55469,0.171875,0.841284,
pipuck1,-0.601562,-4.72656,0.171875,0.639447,
pipuck1,-0.429688,-4.72656,0.171875,0.707917,
pipuck1,-0.257812,-4.55469,0.171875,0.88067,
pipuck1,-0.0859375,-4.55469,0.171875,0.88067,
pipuck1,-0.257812,-4.72656,0.171875,0.781848,
pipuck1,-0.0859375,-4.72656,0.171875,0.771382,
pipuck1,-1.28906,-4.89844,0.171875,0.0978637,
pipuck1,-1.11719,-4.89844,0.171875,0.0488367,
pipuck1,-0.945312,-4.89844,0.171875,0.0499852,
pipuck1,-0.773438,-4.89844,0.171875,0.174905,
pipuck1,-0.601562,-4.89844,0.171875,0.302258,
pipuck1,-0.429688,-4.89844,0.171875,0.293914,
pipuck1,-0.257812,-4.89844,0.171875,0.199835,
pipuck1,-0.0859375,-4.89844,0.171875,0.31392,
pipuck1,0.0859375,-1.28906,0.171875,0.508577,
pipuck1,0.257812,-1.28906,0.171875,0.517141,
pipuck1,0.0859375,-1.46094,0.171875,0.517147,
pipuck1,0.257812,-1.46094,0.171875,0.508571,
pipuck1,0.0859375,-1.63281,0.171875,0.517147,
pipuck1,0.257812,-1.63281,0.171875,0.508876,
pipuck1,0.429688,-1.46094,0.171875,0.470484,
pipuck1,0.0859375,-1.80469,0.171875,0.517147,
pipuck1,0.257812,-1.80469,0.171875,0.510112,
pipuck1,0.0859375,-1.97656,0.171875,0.525704,
pipuck1,0.257812,-1.97656,0.171875,0.503897,
pipuck1,0.429688,-1.80469,0.171875,0.468403,
pipuck1,0.429688,-1.97656,0.171875,0.343299,
pipuck1,0.0859375,-2.14844,0.171875,0.518666,
pipuck1,0.257812,-2.14844,0.171875,0.509436,
pipuck1,0.0859375,-2.32031,0.171875,0.521471,
pipuck1,0.257812,-2.32031,0.171875,0.528009,
pipuck1,0.429688,-2.14844,0.171875,0.265385,
pipuck1,0.429688,-2.32031,0.171875,0.224437,
pipuck1,0.0859375,-2.49219,0.171875,0.548979,
pipuck1,0.257812,-2.49219,0.171875,0.531196,
pipuck1,0.0859375,-2.66406,0.171875,0.57303,
pipuck1,0.257812,-2.66406,0.171875,0.531372,
pipuck1,0.429688,-2.49219,0.171875,0.0979915,
pipuck1,0.601562,-2.49219,0.171875,0.4708,
pipuck1,0.429688,-2.66406,0.171875,0.14298,
pipuck1,0.601562,-2.66406,0.171875,0.516679,
pipuck1,0.773438,-2.66406,0.171875,0.544093,
pipuck1,0.945312,-2.66406,0.171875,0.569458,
pipuck1,1.11719,-2.66406,0.171875,0.518239,
pipuck1,1.28906,-2.66406,0.171875,0.509117,
pipuck1,1.46094,-2.66406,0.171875,0.518219,
pipuck1,2.66406,-2.66406,0.171875,0.548063,
pipuck1,2.83594,-2.66406,0.171875,0.528919,
pipuck1,3.00781,-2.66406,0.171875,0.519299,
pipuck1,0.0859375,-2.83594,0.171875,0.619168,
pipuck1,0.257812,-2.83594,0.171875,0.54793,
pipuck1,0.0859375,-3.00781,0.171875,0.604488,
pipuck1,0.257812,-3.00781,0.171875,0.5584,
pipuck1,0.429688,-2.83594,0.171875,0.29374,
pipuck1,0.601562,-2.83594,0.171875,0.483897,
pipuck1,0.429688,-3.00781,0.171875,0.266738,
pipuck1,0.601562,-3.00781,0.171875,0.354045,
pipuck1,0.171875,-3.26562,0.34375,0.717874,
pipuck1,0.429688,-3.17969,0.171875,0.596352,
pipuck1,0.601562,-3.17969,0.171875,0.564293,
pipuck1,0.429688,-3.35156,0.171875,0.653082,
pipuck1,0.601562,-3.35156,0.171875,0.606775,
pipuck1,0.773438,-2.83594,0.171875,0.552291,
pipuck1,0.945312,-2.83594,0.171875,0.595307,
pipuck1,0.773438,-3.00781,0.171875,0.595493,
pipuck1,0.945312,-3.00781,0.171875,0.603484,
pipuck1,1.11719,-2.83594,0.171875,0.55324,
pipuck1,1.28906,-2.83594,0.171875,0.574807,
pipuck1,1.11719,-3.00781,0.171875,0.570103,
pipuck1,1.28906,-3.00781,0.171875,0.583134,
pipuck1,0.773438,-3.17969,0.171875,0.596438,
pipuck1,0.945312,-3.17969,0.171875,0.611548,
pipuck1,0.773438,-3.35156,0.171875,0.581909,
pipuck1,0.945312,-3.35156,0.171875,0.619589,
pipuck1,1.11719,-3.17969,0.171875,0.570054,
pipuck1,1.28906,-3.17969,0.171875,0.583076,
pipuck1,1.11719,-3.35156,0.171875,0.587604,
pipuck1,1.28906,-3.35156,0.171875,0.573745,
pipuck1,0.0859375,-3.52344,0.171875,0.741954,
pipuck1,0.257812,-3.52344,0.171875,0.72954,
pipuck1,0.0859375,-3.69531,0.171875,0.741529,
pipuck1,0.257812,-3.69531,0.171875,0.83348,
pipuck1,0.429688,-3.52344,0.171875,0.691806,
pipuck1,0.601562,-3.52344,0.171875,0.639889,
pipuck1,0.429688,-3.69531,0.171875,0.819073,
pipuck1,0.601562,-3.69531,0.171875,0.738996,
pipuck1,0.0859375,-3.86719,0.171875,0.863534,
pipuck1,0.257812,-3.86719,0.171875,0.839285,
pipuck1,0.0859375,-4.03906,0.171875,0.827104,
pipuck1,0.257812,-4.03906,0.171875,0.787441,
pipuck1,0.429688,-3.86719,0.171875,0.748381,
pipuck1,0.601562,-3.86719,0.171875,0.684897,
pipuck1,0.429688,-4.03906,0.171875,0.734037,
pipuck1,0.601562,-4.03906,0.171875,0.679844,
pipuck1,0.859375,-3.60938,0.34375,0.629175,
pipuck1,1.11719,-3.52344,0.171875,0.603969,
pipuck1,1.28906,-3.52344,0.171875,0.612201,
pipuck1,1.11719,-3.69531,0.171875,0.628865,
pipuck1,1.28906,-3.69531,0.171875,0.655862,
pipuck1,0.859375,-3.95312,0.34375,0.683831,
pipuck1,1.11719,-3.86719,0.171875,0.673685,
pipuck1,1.28906,-3.86719,0.171875,0.76992,
pipuck1,1.11719,-4.03906,0.171875,0.674424,
pipuck1,1.28906,-4.03906,0.171875,0.799326,
pipuck1,1.46094,-2.83594,0.171875,0.629399,
pipuck1,1.63281,-2.83594,0.171875,0.752444,
pipuck1,1.46094,-3.00781,0.171875,0.645975,
pipuck1,1.63281,-3.00781,0.171875,0.8257,
pipuck1,1.80469,-2.83594,0.171875,0.836664,
pipuck1,1.97656,-2.83594,0.171875,0.697298,
pipuck1,1.80469,-3.00781,0.171875,0.801307,
pipuck1,1.97656,-3.00781,0.171875,0.729621,
pipuck1,1.46094,-3.17969,0.171875,0.637176,
pipuck1,1.63281,-3.17969,0.171875,0.88067,
pipuck1,1.46094,-3.35156,0.171875,0.698824,
pipuck1,1.63281,-3.35156,0.171875,0.88067,
pipuck1,1.89062,-3.26562,0.34375,0.68475,
pipuck1,2.23438,-2.92188,0.34375,0.706394,
pipuck1,2.49219,-2.83594,0.171875,0.0378651,
pipuck1,2.66406,-2.83594,0.171875,0.348869,
pipuck1,2.49219,-3.00781,0.171875,0.578425,
pipuck1,2.66406,-3.00781,0.171875,0.551089,
pipuck1,2.23438,-3.26562,0.34375,0.706637,
pipuck1,2.49219,-3.17969,0.171875,0.61351,
pipuck1,2.66406,-3.17969,0.171875,0.548501,
pipuck1,2.49219,-3.35156,0.171875,0.678554,
pipuck1,2.66406,-3.35156,0.171875,0.558053,
pipuck1,1.46094,-3.52344,0.171875,0.781703,
pipuck1,1.63281,-3.52344,0.171875,0.841643,
pipuck1,1.46094,-3.69531,0.171875,0.841757,
pipuck1,1.63281,-3.69531,0.171875,0.807659,
pipuck1,1.89062,-3.60938,0.34375,0.69106,
pipuck1,1.46094,-3.86719,0.171875,0.829682,
pipuck1,1.63281,-3.86719,0.171875,0.745517,
pipuck1,1.46094,-4.03906,0.171875,0.873794,
pipuck1,1.63281,-4.03906,0.171875,0.768285,
pipuck1,1.89062,-3.95312,0.34375,0.703453,
pipuck1,2.23438,-3.60938,0.34375,0.710999,
pipuck1,2.49219,-3.52344,0.171875,0.730181,
pipuck1,2.66406,-3.52344,0.171875,0.576879,
pipuck1,2.49219,-3.69531,0.171875,0.766743,
pipuck1,2.66406,-3.69531,0.171875,0.633869,
pipuck1,2.23438,-3.95312,0.34375,0.699603,
pipuck1,2.57812,-3.95312,0.34375,0.688314,
pipuck1,0.0859375,-4.21094,0.171875,0.652088,
pipuck1,0.257812,-4.21094,0.171875,0.747669,
pipuck1,0.0859375,-4.38281,0.171875,0.599779,
pipuck1,0.257812,-4.38281,0.171875,0.629686,
pipuck1,0.515625,-4.29688,0.34375,0.724794,
pipuck1,0.0859375,-4.55469,0.171875,0.807055,
pipuck1,0.257812,-4.55469,0.171875,0.88067,
pipuck1,0.0859375,-4.72656,0.171875,0.821557,
pipuck1,0.257812,-4.72656,0.171875,0.857348,
pipuck1,0.515625,-4.64062,0.34375,0.88067,
pipuck1,0.773438,-4.21094,0.171875,0.71079,
pipuck1,0.945312,-4.21094,0.171875,0.705636,
pipuck1,0.773438,-4.38281,0.171875,0.802081,
pipuck1,0.945312,-4.38281,0.171875,0.859861,
pipuck1,1.11719,-4.21094,0.171875,0.75452,
pipuck1,1.28906,-4.21094,0.171875,0.751153,
pipuck1,1.11719,-4.38281,0.171875,0.867723,
pipuck1,1.28906,-4.38281,0.171875,0.831129,
pipuck1,0.859375,-4.64062,0.34375,0.88067,
pipuck1,1.20312,-4.64062,0.34375,0.88067,
pipuck1,0.0859375,-4.89844,0.171875,0.142022,
pipuck1,0.257812,-4.89844,0.171875,0.258946,
pipuck1,0.429688,-4.89844,0.171875,0.188951,
pipuck1,0.601562,-4.89844,0.171875,0.20056,
pipuck1,0.773438,-4.89844,0.171875,0.044569,
pipuck1,0.945312,-4.89844,0.171875,0.0520546,
pipuck1,1.11719,-4.89844,0.171875,0.0623452,
pipuck1,1.28906,-4.89844,0.171875,0.113554,
pipuck1,1.46094,-4.21094,0.171875,0.830251,
pipuck1,1.63281,-4.21094,0.171875,0.788825,
pipuck1,1.46094,-4.38281,0.171875,0.88067,
pipuck1,1.63281,-4.38281,0.171875,0.880289,
pipuck1,1.89062,-4.29688,0.34375,0.725395,
pipuck1,1.54688,-4.64062,0.34375,0.88067,
pipuck1,1.89062,-4.64062,0.34375,0.879799,
pipuck1,2.23438,-4.29688,0.34375,0.710821,
pipuck1,2.57812,-4.29688,0.34375,0.719166,
pipuck1,2.14844,-4.55469,0.171875,0.88067,
pipuck1,2.32031,-4.55469,0.171875,0.88067,
pipuck1,2.14844,-4.72656,0.171875,0.835097,
pipuck1,2.32031,-4.72656,0.171875,0.81796,
pipuck1,2.57812,-4.64062,0.34375,0.880665,
pipuck1,1.46094,-4.89844,0.171875,0.030158,
pipuck1,1.63281,-4.89844,0.171875,0.0301736,
pipuck1,1.80469,-4.89844,0.171875,0.0318455,
pipuck1,1.97656,-4.89844,0.171875,0.0329013,
pipuck1,2.14844,-4.89844,0.171875,0.0343369,
pipuck1,2.32031,-4.89844,0.171875,0.0357725,
pipuck1,2.49219,-4.89844,0.171875,0.0370646,
pipuck1,2.66406,-4.89844,0.171875,0.0382131,
pipuck1,2.83594,-2.83594,0.171875,0.528919,
pipuck1,3.00781,-2.83594,0.171875,0.528929,
pipuck1,2.83594,-3.00781,0.171875,0.528919,
pipuck1,3.00781,-3.00781,0.171875,0.53855,
pipuck1,3.17969,-2.83594,0.171875,0.528949,
pipuck1,3.35156,-2.83594,0.171875,0.538589,
pipuck1,3.17969,-3.00781,0.171875,0.528949,
pipuck1,3.35156,-3.00781,0.171875,0.528969,
pipuck1,2.83594,-3.17969,0.171875,0.538523,
pipuck1,3.00781,-3.17969,0.171875,0.53855,
pipuck1,2.83594,-3.35156,0.171875,0.548096,
pipuck1,3.00781,-3.35156,0.171875,0.548146,
pipuck1,3.17969,-3.17969,0.171875,0.538576,
pipuck1,3.35156,-3.17969,0.171875,0.538603,
pipuck1,3.17969,-3.35156,0.171875,0.528959,
