agent_id,box_x,box_y,box_size,pheromone
pipuck1,-0.945312,-2.66406,0.171875,0.517633,
pipuck1,-0.773438,-2.66406,0.171875,0.508823,
pipuck1,-0.429688,-2.66406,0.171875,0.517633,
pipuck1,-0.257812,-2.66406,0.171875,0.508823,
pipuck1,-0.0859375,-2.66406,0.171875,0.50882,
pipuck1,-3.35156,-4.38281,0.171875,0.517639,
pipuck1,-3.17969,-4.38281,0.171875,0.517639,
pipuck1,-2.83594,-4.21094,0.171875,0.508823,
pipuck1,-3.00781,-4.38281,0.171875,0.517639,
pipuck1,-2.83594,-4.38281,0.171875,0.517639,
pipuck1,-1.46094,-3.52344,0.171875,0.396694,
pipuck1,-1.46094,-3.69531,0.171875,0.504104,
pipuck1,-1.46094,-3.86719,0.171875,0.508207,
pipuck1,-1.46094,-4.03906,0.171875,0.51231,
pipuck1,-0.945312,-2.83594,0.171875,0.517633,
pipuck1,-0.773438,-2.83594,0.171875,0.508823,
pipuck1,-0.945312,-3.00781,0.171875,0.517633,
pipuck1,-0.773438,-3.00781,0.171875,0.508823,
pipuck1,-0.945312,-3.17969,0.171875,0.517633,
pipuck1,-0.773438,-3.17969,0.171875,0.508823,
pipuck1,-0.945312,-3.35156,0.171875,0.526441,
pipuck1,-0.429688,-2.83594,0.171875,0.517633,
pipuck1,-0.429688,-3.00781,0.171875,0.517633,
pipuck1,-0.257812,-2.83594,0.171875,0.508823,
pipuck1,-0.0859375,-2.83594,0.171875,0.50882,
pipuck1,-0.257812,-3.00781,0.171875,0.508823,
pipuck1,-0.0859375,-3.00781,0.171875,0.557401,
pipuck1,-0.429688,-3.17969,0.171875,0.526441,
pipuck1,-0.429688,-3.35156,0.171875,0.566116,
pipuck1,-0.257812,-3.17969,0.171875,0.539654,
pipuck1,-0.0859375,-3.17969,0.171875,0.547555,
pipuck1,-0.257812,-3.35156,0.171875,0.539641,
pipuck1,-0.0859375,-3.35156,0.171875,0.527534,
pipuck1,-0.945312,-3.52344,0.171875,0.526441,
pipuck1,-0.945312,-3.69531,0.171875,0.526441,
pipuck1,-0.945312,-3.86719,0.171875,0.526441,
pipuck1,-0.773438,-3.86719,0.171875,0.509817,
pipuck1,-0.945312,-4.03906,0.171875,0.526441,
pipuck1,-0.773438,-4.03906,0.171875,0.519619,
pipuck1,-0.601562,-3.52344,0.171875,0.529718,
pipuck1,-0.429688,-3.52344,0.171875,0.546487,
pipuck1,-0.601562,-3.69531,0.171875,0.529708,
