agent_id,x,y,coverage_pheromone,size
pipuck15,-5.44531,-1.19531,0.22125,0.265625
pipuck15,-5.44531,-0.929688,0.228125,0.265625
pipuck15,-5.44531,-0.664062,0.229375,0.265625
pipuck15,-5.44531,-0.398438,0.28,0.265625
pipuck15,-5.44531,-0.132812,0.285,0.265625
pipuck15,-5.44531,0.132812,0.285625,0.265625
pipuck15,-5.44531,0.398438,0.28375,0.265625
pipuck15,-5.44531,0.664062,0.27625,0.265625
pipuck15,-5.44531,0.929688,0.275625,0.265625
pipuck15,-5.44531,1.19531,0.266875,0.265625
pipuck15,-5.44531,1.46094,0.26875,0.265625
pipuck15,-5.44531,1.72656,0.27,0.265625
pipuck15,-5.44531,1.99219,0.270625,0.265625
pipuck15,-5.44531,2.25781,0.28,0.265625
pipuck15,-5.44531,2.52344,0.290625,0.265625
pipuck15,-5.44531,2.78906,0.294375,0.265625
pipuck15,-5.44531,3.05469,0.281875,0.265625
pipuck15,-5.44531,4.11719,-1,0.265625
pipuck15,-5.44531,4.38281,-1,0.265625
pipuck15,-5.44531,4.64844,-1,0.265625
pipuck15,-5.44531,4.91406,-1,0.265625
pipuck15,-5.44531,5.17969,-1,0.265625
pipuck15,-5.44531,6.77344,0.656875,0.265625
pipuck15,-5.17969,-4.91406,-1,0.265625
pipuck15,-5.17969,-4.64844,0.10875,0.265625
pipuck15,-5.17969,-4.11719,0.11,0.265625
pipuck15,-5.17969,-3.32031,-1,0.265625
pipuck15,-5.17969,-3.05469,0.2025,0.265625
pipuck15,-5.17969,-2.78906,0.20875,0.265625
pipuck15,-5.17969,-2.52344,0.210625,0.265625
pipuck15,-5.17969,-2.25781,0.210625,0.265625
pipuck15,-5.17969,-1.99219,0.211875,0.265625
pipuck15,-5.17969,-1.72656,0.2125,0.265625
pipuck15,-5.17969,-1.46094,0.21625,0.265625
pipuck15,-5.17969,-1.19531,0.22125,0.265625
pipuck15,-5.17969,-0.929688,0.2575,0.265625
pipuck15,-5.17969,-0.664062,0.269375,0.265625
pipuck15,-5.17969,-0.398438,0.27,0.265625
pipuck15,-5.17969,-0.132812,0.285,0.265625
pipuck15,-5.17969,0.132812,0.29,0.265625
pipuck15,-5.17969,0.398438,0.2875,0.265625
pipuck15,-5.17969,0.664062,0.28375,0.265625
pipuck15,-5.17969,0.929688,0.275625,0.265625
pipuck15,-5.17969,1.19531,0.268125,0.265625
pipuck15,-5.17969,1.46094,0.269375,0.265625
pipuck15,-5.17969,1.72656,0.270625,0.265625
pipuck15,-5.17969,1.99219,0.28,0.265625
pipuck15,-5.17969,2.25781,0.290625,0.265625
