agent_id,x,y,obstacle_pheromone,size
pipuck15,-4.11719,-7.83594,-1,0.265625
pipuck15,-4.11719,-7.30469,-1,0.265625
pipuck15,-4.11719,-7.03906,-1,0.265625
pipuck15,-4.11719,3.32031,-1,0.265625
pipuck15,-3.85156,-8.10156,-1,0.265625
pipuck15,-3.85156,-7.83594,-1,0.265625
pipuck15,-3.85156,-7.57031,-1,0.265625
pipuck15,-3.85156,-7.30469,-1,0.265625
pipuck15,-3.85156,-7.03906,-1,0.265625
pipuck15,-3.85156,3.32031,-1,0.265625
pipuck15,-3.58594,-8.89844,-1,0.265625
pipuck15,-3.58594,-8.63281,0.0125,0.265625
pipuck15,-3.58594,-8.36719,-1,0.265625
pipuck15,-3.58594,-8.10156,-1,0.265625
pipuck15,-3.58594,-7.83594,0.015625,0.265625
pipuck15,-3.58594,-7.57031,-1,0.265625
pipuck15,-3.32031,-9.69531,-1,0.265625
pipuck15,-3.32031,-9.16406,0.00375,0.265625
pipuck15,-3.32031,-8.89844,0.00625,0.265625
pipuck15,-3.32031,-8.63281,0.013125,0.265625
pipuck15,-3.32031,-8.36719,0.011875,0.265625
pipuck15,-3.32031,-8.10156,0.01625,0.265625
pipuck15,-3.32031,-7.83594,0.015,0.265625
pipuck15,-3.32031,7.83594,0.665,0.265625
pipuck15,-3.32031,8.10156,0.65625,0.265625
pipuck15,-3.32031,8.36719,0.665625,0.265625
pipuck15,-3.32031,8.63281,0.656875,0.265625
pipuck15,-3.05469,-9.96094,-1,0.265625
pipuck15,-3.05469,-9.69531,-1,0.265625
pipuck15,-3.05469,-9.42969,-1,0.265625
pipuck15,-3.05469,-9.16406,0.003125,0.265625
pipuck15,-3.05469,4.11719,-1,0.265625
pipuck15,-3.05469,4.64844,-1,0.265625
pipuck15,-3.05469,5.17969,0.7275,0.265625
pipuck15,-3.05469,5.71094,0.694375,0.265625
pipuck15,-3.05469,6.77344,0.699375,0.265625
pipuck15,-3.05469,7.03906,0.734375,0.265625
pipuck15,-3.05469,7.30469,0.71875,0.265625
pipuck15,-3.05469,7.57031,0.698125,0.265625
pipuck15,-3.05469,7.83594,0.715625,0.265625
pipuck15,-3.05469,9.96094,-1,0.265625
pipuck15,-3.05469,10.2266,-1,0.265625
pipuck15,-2.78906,-10.7578,-1,0.265625
pipuck15,-2.78906,-10.4922,-1,0.265625
pipuck15,-2.78906,-9.69531,-1,0.265625
pipuck15,-2.78906,4.11719,-1,0.265625
pipuck15,-2.78906,4.38281,-1,0.265625
pipuck15,-2.78906,5.71094,0.69875,0.265625
pipuck15,-2.78906,6.77344,0.744375,0.265625
pipuck15,-2.78906,7.03906,0.730625,0.265625
pipuck15,-2.78906,7.30469,0.696875,0.265625
pipuck15,-2.78906,8.10156,0.521875,0.265625
pipuck15,-2.78906,8.63281,0.663125,0.265625
pipuck15,-2.78906,8.89844,-1,0.265625
pipuck15,-2.78906,9.16406,-1,0.265625
pipuck15,-2.78906,9.42969,-1,0.265625
pipuck15,-2.78906,9.69531,-1,0.265625
pipuck15,-2.78906,9.96094,-1,0.265625
pipuck15,-2.52344,-11.0234,-1,0.265625
pipuck15,-2.52344,-10.7578,-1,0.265625
pipuck15,-2.52344,3.85156,-1,0.265625
pipuck15,-2.52344,4.11719,-1,0.265625
pipuck15,-2.52344,4.38281,-1,0.265625
pipuck15,-2.52344,4.64844,-1,0.265625
pipuck15,-2.52344,5.97656,0.611875,0.265625
pipuck15,-2.52344,6.24219,0.625,0.265625
pipuck15,-2.52344,6.50781,0.64375,0.265625
pipuck15,-2.52344,6.77344,0.73125,0.265625
pipuck15,-2.52344,7.03906,0.7125,0.265625
pipuck15,-2.52344,7.30469,0.495,0.265625
pipuck15,-2.52344,7.57031,0.580625,0.265625
pipuck15,-2.52344,7.83594,-1,0.265625
pipuck15,-2.52344,8.10156,0.66125,0.265625
pipuck15,-2.52344,8.36719,0.6625,0.265625
pipuck15,-2.52344,8.63281,-1,0.265625
pipuck15,-2.52344,8.89844,-1,0.265625
pipuck15,-2.52344,9.16406,-1,0.265625
pipuck15,-2.52344,9.42969,-1,0.265625
pipuck15,-2.52344,11.0234,-1,0.265625
pipuck15,-2.25781,-11.2891,-1,0.265625
pipuck15,-2.25781,-11.0234,-1,0.265625
pipuck15,-2.25781,-10.7578,-1,0.265625
pipuck15,-2.25781,-4.64844,-1,0.265625
pipuck15,-2.25781,-4.38281,-1,0.265625
pipuck15,-2.25781,-4.11719,-1,0.265625
pipuck15,-2.25781,-3.85156,-1,0.265625
pipuck15,-2.25781,-3.32031,-1,0.265625
pipuck15,-2.25781,4.11719,-1,0.265625
pipuck15,-2.25781,4.38281,-1,0.265625
pipuck15,-2.25781,4.64844,-1,0.265625
pipuck15,-2.25781,5.17969,0.461875,0.265625
pipuck15,-2.25781,5.44531,0.496875,0.265625
pipuck15,-2.25781,5.71094,0.681875,0.265625
pipuck15,-2.25781,5.97656,0.68125,0.265625
pipuck15,-2.25781,6.24219,0.62375,0.265625
pipuck15,-2.25781,6.50781,0.598125,0.265625
pipuck15,-2.25781,6.77344,0.640625,0.265625
pipuck15,-2.25781,7.03906,0.656875,0.265625
pipuck15,-2.25781,7.30469,0.65875,0.265625
pipuck15,-2.25781,7.57031,0.66,0.265625
pipuck15,-2.25781,7.83594,0.660625,0.265625
pipuck15,-2.25781,8.10156,-1,0.265625
pipuck15,-2.25781,8.36719,-1,0.265625
pipuck15,-2.25781,8.63281,-1,0.265625
pipuck15,-2.25781,9.16406,-1,0.265625
pipuck15,-2.25781,11.2891,-1,0.265625
pipuck15,-1.99219,-11.5547,-1,0.265625
pipuck15,-1.99219,-11.2891,-1,0.265625
pipuck15,-1.99219,-11.0234,-1,0.265625
pipuck15,-1.99219,-3.85156,-1,0.265625
pipuck15,-1.99219,4.11719,-1,0.265625
pipuck15,-1.99219,5.17969,0.46,0.265625
pipuck15,-1.99219,5.44531,0.683125,0.265625
pipuck15,-1.99219,5.71094,0.548125,0.265625
pipuck15,-1.99219,5.97656,0.680625,0.265625
pipuck15,-1.99219,6.24219,0.60375,0.265625
pipuck15,-1.99219,6.50781,0.670625,0.265625
pipuck15,-1.99219,6.77344,0.67,0.265625
pipuck15,-1.99219,7.03906,0.669375,0.265625
pipuck15,-1.99219,7.30469,-1,0.265625
pipuck15,-1.99219,7.57031,-1,0.265625
pipuck15,-1.99219,8.10156,-1,0.265625
pipuck15,-1.99219,8.36719,-1,0.265625
pipuck15,-1.99219,11.2891,-1,0.265625
pipuck15,-1.72656,-11.5547,-1,0.265625
pipuck15,-1.72656,-11.2891,-1,0.265625
pipuck15,-1.72656,-11.0234,-1,0.265625
pipuck15,-1.72656,-7.30469,-1,0.265625
pipuck15,-1.72656,-7.03906,-1,0.265625
pipuck15,-1.72656,-3.85156,-1,0.265625
pipuck15,-1.72656,-0.132812,-1,0.265625
pipuck15,-1.72656,0.132812,0.859375,0.265625
pipuck15,-1.72656,0.398438,-1,0.265625
pipuck15,-1.72656,6.24219,0.6825,0.265625
pipuck15,-1.72656,7.03906,0.638125,0.265625
pipuck15,-1.72656,11.2891,-1,0.265625
pipuck15,-1.72656,11.5547,-1,0.265625
pipuck15,-1.46094,-11.5547,-1,0.265625
pipuck15,-1.46094,-11.2891,-1,0.265625
pipuck15,-1.46094,-0.929688,0.881875,0.265625
pipuck15,-1.46094,-0.664062,0.888125,0.265625
pipuck15,-1.46094,-0.398438,0.874375,0.265625
pipuck15,-1.46094,-0.132812,0.869375,0.265625
pipuck15,-1.46094,0.132812,0.8625,0.265625
pipuck15,-1.46094,0.398438,0.863125,0.265625
pipuck15,-1.46094,0.664062,0.8425,0.265625
pipuck15,-1.46094,5.97656,0.686875,0.265625
pipuck15,-1.46094,11.5547,-1,0.265625
pipuck15,-1.46094,11.8203,-1,0.265625
pipuck15,-1.19531,-11.8203,-1,0.265625
pipuck15,-1.19531,-11.5547,-1,0.265625
pipuck15,-1.19531,-1.19531,0.9,0.265625
pipuck15,-1.19531,-0.929688,0.899375,0.265625
pipuck15,-1.19531,-0.664062,0.89,0.265625
pipuck15,-1.19531,0.398438,-1,0.265625
pipuck15,-1.19531,0.664062,0.840625,0.265625
pipuck15,-1.19531,0.929688,0.83875,0.265625
pipuck15,-1.19531,3.58594,-1,0.265625
pipuck15,-1.19531,4.11719,-1,0.265625
pipuck15,-1.19531,4.38281,-1,0.265625
pipuck15,-1.19531,11.5547,-1,0.265625
pipuck15,-1.19531,11.8203,-1,0.265625
pipuck15,-0.929688,-11.8203,-1,0.265625
pipuck15,-0.929688,-11.5547,-1,0.265625
pipuck15,-0.929688,-1.46094,0.165,0.265625
pipuck15,-0.929688,-1.19531,0.9025,0.265625
pipuck15,-0.929688,-0.929688,0.893125,0.265625
pipuck15,-0.929688,0.664062,0.838125,0.265625
pipuck15,-0.929688,0.929688,0.836875,0.265625
pipuck15,-0.929688,1.19531,0.834375,0.265625
pipuck15,-0.929688,3.32031,-1,0.265625
pipuck15,-0.929688,4.38281,-1,0.265625
pipuck15,-0.929688,11.8203,-1,0.265625
pipuck15,-0.929688,12.0859,-1,0.265625
pipuck15,-0.664062,-11.8203,-1,0.265625
pipuck15,-0.664062,-8.89844,-1,0.265625
pipuck15,-0.664062,-5.44531,-1,0.265625
pipuck15,-0.664062,-5.17969,-1,0.265625
pipuck15,-0.664062,-1.46094,0.9075,0.265625
pipuck15,-0.664062,-1.19531,0.903125,0.265625
pipuck15,-0.664062,1.19531,0.82375,0.265625
pipuck15,-0.664062,1.46094,0.8325,0.265625
pipuck15,-0.664062,3.85156,-1,0.265625
pipuck15,-0.664062,4.64844,0.414375,0.265625
pipuck15,-0.664062,4.91406,0.715625,0.265625
pipuck15,-0.664062,7.83594,0.57875,0.265625
pipuck15,-0.664062,11.8203,-1,0.265625
pipuck15,-0.664062,12.0859,-1,0.265625
pipuck15,-0.398438,-5.97656,0.048125,0.265625
pipuck15,-0.398438,-5.71094,0.051875,0.265625
pipuck15,-0.398438,-5.44531,0.964375,0.265625
pipuck15,-0.398438,-5.17969,0.940625,0.265625
pipuck15,-0.398438,-1.72656,0.911875,0.265625
pipuck15,-0.398438,-1.46094,0.9125,0.265625
pipuck15,-0.398438,-1.19531,0.91,0.265625
pipuck15,-0.398438,1.19531,0.825625,0.265625
pipuck15,-0.398438,1.46094,0.846875,0.265625
pipuck15,-0.398438,3.85156,-1,0.265625
pipuck15,-0.398438,7.30469,-1,0.265625
pipuck15,-0.398438,7.57031,0.668125,0.265625
pipuck15,-0.398438,7.83594,0.66625,0.265625
pipuck15,-0.398438,8.10156,-1,0.265625
pipuck15,-0.398438,8.36719,-1,0.265625
pipuck15,-0.398438,8.63281,-1,0.265625
pipuck15,-0.398438,8.89844,-1,0.265625
pipuck15,-0.398438,11.8203,-1,0.265625
pipuck15,-0.398438,12.0859,-1,0.265625
pipuck15,-0.398438,12.3516,-1,0.265625
pipuck15,-0.132812,-6.77344,0.043125,0.265625
pipuck15,-0.132812,-6.50781,0.04375,0.265625
pipuck15,-0.132812,-6.24219,0.045,0.265625
pipuck15,-0.132812,-5.97656,0.050625,0.265625
pipuck15,-0.132812,-5.71094,0.05125,0.265625
pipuck15,-0.132812,-5.44531,0.9875,0.265625
pipuck15,-0.132812,-5.17969,0.98875,0.265625
pipuck15,-0.132812,-4.91406,0.9575,0.265625
pipuck15,-0.132812,-1.72656,-1,0.265625
pipuck15,-0.132812,-1.46094,0.914375,0.265625
pipuck15,-0.132812,1.19531,0.83125,0.265625
pipuck15,-0.132812,1.46094,0.848125,0.265625
pipuck15,-0.132812,1.72656,0.8425,0.265625
pipuck15,-0.132812,4.11719,-1,0.265625
pipuck15,-0.132812,7.30469,0.665,0.265625
pipuck15,-0.132812,7.57031,0.66875,0.265625
pipuck15,-0.132812,7.83594,0.669375,0.265625
pipuck15,-0.132812,8.10156,-1,0.265625
pipuck15,-0.132812,8.36719,-1,0.265625
pipuck15,-0.132812,8.63281,-1,0.265625
