agent_id,box_x,box_y,box_size,pheromone
pipuck15,-2.53906,5.17969,0.203125,0.156225,
pipuck15,-2.74219,4.97656,0.203125,0.0696085,
pipuck15,-2.53906,4.97656,0.203125,0.191551,
pipuck15,-2.33594,5.58594,0.203125,0.109096,
pipuck15,-2.13281,5.58594,0.203125,0.0836378,
pipuck15,-2.33594,5.38281,0.203125,0.86313,
pipuck15,-2.13281,5.38281,0.203125,0.86871,
pipuck15,-1.92969,5.58594,0.203125,0.0784174,
pipuck15,-1.72656,5.58594,0.203125,0.0720961,
pipuck15,-1.92969,5.38281,0.203125,0.868178,
pipuck15,-1.72656,5.38281,0.203125,0.343822,
pipuck15,-2.23438,5.07812,0.40625,0.848247,
pipuck15,-1.92969,5.17969,0.203125,0.861074,
pipuck15,-1.72656,5.17969,0.203125,0.79466,
pipuck15,-1.92969,4.97656,0.203125,0.868776,
pipuck15,-1.72656,4.97656,0.203125,0.868776,
pipuck15,-1.52344,5.78906,0.203125,0.499978,
pipuck15,-1.11719,5.99219,0.203125,0.125745,
pipuck15,-0.914062,5.99219,0.203125,0.0475136,
pipuck15,-1.11719,5.78906,0.203125,0.1476,
pipuck15,-0.914062,5.78906,0.203125,0.052921,
pipuck15,-0.507812,6.19531,0.203125,0.273483,
pipuck15,-0.710938,5.99219,0.203125,0.0478047,
pipuck15,-0.507812,5.99219,0.203125,0.10424,
pipuck15,-0.710938,5.78906,0.203125,0.140259,
pipuck15,-0.507812,5.78906,0.203125,0.713055,
pipuck15,-0.304688,5.99219,0.203125,0.199978,
pipuck15,-0.101562,5.99219,0.203125,0.288506,
pipuck15,-0.304688,5.78906,0.203125,0.0473837,
pipuck15,-0.101562,5.78906,0.203125,0.0612649,
pipuck15,-1.52344,5.58594,0.203125,0.167076,
pipuck15,-1.32031,5.58594,0.203125,0.25249,
pipuck15,-1.52344,5.38281,0.203125,0.0726083,
pipuck15,-1.32031,5.38281,0.203125,0.0726083,
pipuck15,-1.11719,5.58594,0.203125,0.0581154,
pipuck15,-0.914062,5.58594,0.203125,0.235716,
pipuck15,-1.11719,5.38281,0.203125,0.0634837,
pipuck15,-0.914062,5.38281,0.203125,0.0634837,
pipuck15,-1.52344,5.17969,0.203125,0.769731,
pipuck15,-1.32031,5.17969,0.203125,0.428236,
pipuck15,-1.52344,4.97656,0.203125,0.860082,
pipuck15,-1.32031,4.97656,0.203125,0.842559,
pipuck15,-1.11719,5.17969,0.203125,0.0814368,
pipuck15,-0.914062,5.17969,0.203125,0.0880008,
pipuck15,-1.11719,4.97656,0.203125,0.0627836,
pipuck15,-0.914062,4.97656,0.203125,0.151282,
pipuck15,-0.710938,5.58594,0.203125,0.829245,
pipuck15,-0.507812,5.58594,0.203125,0.670937,
pipuck15,-0.710938,5.38281,0.203125,0.864151,
pipuck15,-0.507812,5.38281,0.203125,0.8398,
pipuck15,-0.304688,5.58594,0.203125,0.164986,
pipuck15,-0.101562,5.58594,0.203125,0.12939,
pipuck15,-0.304688,5.38281,0.203125,0.83467,
pipuck15,-0.101562,5.38281,0.203125,0.868725,
pipuck15,-0.609375,5.07812,0.40625,0.871829,
pipuck15,-0.203125,5.07812,0.40625,0.843712,
pipuck15,-2.94531,4.77344,0.203125,0.499404,
pipuck15,-2.94531,4.57031,0.203125,0.510141,
pipuck15,-2.74219,4.77344,0.203125,0.0648142,
pipuck15,-2.53906,4.77344,0.203125,0.291109,
pipuck15,-2.74219,4.57031,0.203125,0.0643734,
pipuck15,-2.53906,4.57031,0.203125,0.132813,
pipuck15,-3.14844,4.36719,0.203125,0.500588,
pipuck15,-2.94531,4.36719,0.203125,0.521764,
pipuck15,-3.14844,4.16406,0.203125,0.74496,
pipuck15,-2.94531,4.16406,0.203125,0.728155,
pipuck15,-2.74219,4.36719,0.203125,0.0553827,
pipuck15,-2.53906,4.36719,0.203125,0.115294,
pipuck15,-2.74219,4.16406,0.203125,0.0535438,
pipuck15,-2.53906,4.16406,0.203125,0.797885,
pipuck15,-2.03125,4.46875,0.8125,0.856827,
pipuck15,-3.04688,3.85938,0.40625,0.867679,
pipuck15,-2.74219,3.96094,0.203125,0.0819075,
pipuck15,-2.53906,3.96094,0.203125,0.867019,
pipuck15,-2.74219,3.75781,0.203125,0.741535,
pipuck15,-2.53906,3.75781,0.203125,0.873228,
pipuck15,-3.04688,3.45312,0.40625,0.860427,
pipuck15,-2.64062,3.45312,0.40625,0.856456,
pipuck15,-2.03125,3.65625,0.8125,0.857245,
pipuck15,-1.42188,4.67188,0.40625,0.820707,
pipuck15,-1.11719,4.77344,0.203125,0.203114,
pipuck15,-0.914062,4.77344,0.203125,0.0627836,
pipuck15,-1.11719,4.57031,0.203125,0.290308,
pipuck15,-0.914062,4.57031,0.203125,0.0535842,
pipuck15,-1.42188,4.26562,0.40625,0.827381,
pipuck15,-1.11719,4.36719,0.203125,0.388726,
pipuck15,-0.914062,4.36719,0.203125,0.0617383,
pipuck15,-1.11719,4.16406,0.203125,0.458795,
pipuck15,-0.914062,4.16406,0.203125,0.0559247,
pipuck15,-0.710938,4.77344,0.203125,0.641333,
pipuck15,-0.507812,4.77344,0.203125,0.876738,
pipuck15,-0.710938,4.57031,0.203125,0.293174,
pipuck15,-0.507812,4.57031,0.203125,0.871501,
pipuck15,-0.203125,4.67188,0.40625,0.858166,
pipuck15,-0.710938,4.36719,0.203125,0.0627836,
pipuck15,-0.507812,4.36719,0.203125,0.876738,
pipuck15,-0.710938,4.16406,0.203125,0.159141,
pipuck15,-0.507812,4.16406,0.203125,0.876122,
pipuck15,-0.203125,4.26562,0.40625,0.874628,
pipuck15,-1.52344,3.96094,0.203125,0.864875,
pipuck15,-1.32031,3.96094,0.203125,0.694253,
pipuck15,-1.52344,3.75781,0.203125,0.865934,
pipuck15,-1.32031,3.75781,0.203125,0.847357,
pipuck15,-1.11719,3.96094,0.203125,0.428973,
pipuck15,-0.914062,3.96094,0.203125,0.108948,
pipuck15,-1.11719,3.75781,0.203125,0.0496425,
pipuck15,-0.914062,3.75781,0.203125,0.0532523,
pipuck15,-1.52344,3.55469,0.203125,0.867295,
pipuck15,-1.32031,3.55469,0.203125,0.685906,
pipuck15,-1.52344,3.35156,0.203125,0.836376,
pipuck15,-1.32031,3.35156,0.203125,0.822114,
pipuck15,-1.11719,3.55469,0.203125,0.168989,
pipuck15,-0.914062,3.55469,0.203125,0.0539166,
pipuck15,-1.11719,3.35156,0.203125,0.415835,
pipuck15,-0.914062,3.35156,0.203125,0.143046,
pipuck15,-0.710938,3.96094,0.203125,0.324474,
pipuck15,-0.507812,3.96094,0.203125,0.876738,
pipuck15,-0.710938,3.75781,0.203125,0.0629271,
pipuck15,-0.507812,3.75781,0.203125,0.747361,
pipuck15,-0.203125,3.85938,0.40625,0.874628,
pipuck15,-0.710938,3.55469,0.203125,0.0606989,
pipuck15,-0.507812,3.55469,0.203125,0.0634837,
pipuck15,-0.710938,3.35156,0.203125,0.269027,
pipuck15,-0.507812,3.35156,0.203125,0.3987,
pipuck15,-0.203125,3.45312,0.40625,0.859291,
pipuck15,-5.38281,3.14844,0.203125,0.109662,
pipuck15,-5.38281,2.94531,0.203125,0.109305,
pipuck15,-5.17969,3.14844,0.203125,0.0594702,
pipuck15,-4.97656,3.14844,0.203125,0.0585678,
pipuck15,-5.17969,2.94531,0.203125,0.0599202,
pipuck15,-4.97656,2.94531,0.203125,0.0925573,
pipuck15,-5.58594,2.74219,0.203125,0.465633,
pipuck15,-5.38281,2.74219,0.203125,0.0516911,
pipuck15,-5.58594,2.53906,0.203125,0.217043,
pipuck15,-5.38281,2.53906,0.203125,0.054465,
pipuck15,-5.17969,2.74219,0.203125,0.0820127,
pipuck15,-4.97656,2.74219,0.203125,0.360767,
pipuck15,-5.17969,2.53906,0.203125,0.0524392,
pipuck15,-4.97656,2.53906,0.203125,0.165826,
pipuck15,-5.58594,2.33594,0.203125,0.479411,
pipuck15,-5.38281,2.33594,0.203125,0.0560087,
pipuck15,-5.58594,2.13281,0.203125,0.0563369,
pipuck15,-5.38281,2.13281,0.203125,0.0563369,
pipuck15,-5.17969,2.33594,0.203125,0.729324,
pipuck15,-4.97656,2.33594,0.203125,0.614869,
pipuck15,-5.17969,2.13281,0.203125,0.446609,
pipuck15,-4.97656,2.13281,0.203125,0.825147,
pipuck15,-5.58594,1.92969,0.203125,0.263907,
pipuck15,-5.38281,1.92969,0.203125,0.0609963,
pipuck15,-5.58594,1.72656,0.203125,0.175693,
pipuck15,-5.38281,1.72656,0.203125,0.0606594,
pipuck15,-5.17969,1.92969,0.203125,0.290776,
pipuck15,-4.97656,1.92969,0.203125,0.814775,
pipuck15,-5.17969,1.72656,0.203125,0.0613338,
pipuck15,-4.97656,1.72656,0.203125,0.278939,
pipuck15,-4.77344,3.14844,0.203125,0.739992,
pipuck15,-4.57031,3.14844,0.203125,0.872529,
pipuck15,-4.77344,2.94531,0.203125,0.865487,
pipuck15,-4.57031,2.94531,0.203125,0.872529,
pipuck15,-4.26562,3.04688,0.40625,0.864935,
pipuck15,-4.77344,2.74219,0.203125,0.772532,
pipuck15,-4.57031,2.74219,0.203125,0.787029,
pipuck15,-4.77344,2.53906,0.203125,0.865614,
pipuck15,-4.57031,2.53906,0.203125,0.872529,
pipuck15,-4.26562,2.64062,0.40625,0.864935,
pipuck15,-3.65625,2.84375,0.8125,0.866095,
pipuck15,-4.77344,2.33594,0.203125,0.820638,
pipuck15,-4.57031,2.33594,0.203125,0.872529,
pipuck15,-4.77344,2.13281,0.203125,0.872529,
pipuck15,-4.57031,2.13281,0.203125,0.872529,
pipuck15,-4.26562,2.23438,0.40625,0.854807,
pipuck15,-4.67188,1.82812,0.40625,0.859246,
pipuck15,-4.26562,1.82812,0.40625,0.856281,
pipuck15,-3.65625,2.03125,0.8125,0.863359,
pipuck15,-5.58594,1.52344,0.203125,0.211144,
pipuck15,-5.38281,1.52344,0.203125,0.0809659,
pipuck15,-5.38281,1.32031,0.203125,0.165189,
pipuck15,-5.17969,1.52344,0.203125,0.0616719,
pipuck15,-4.97656,1.52344,0.203125,0.0643029,
pipuck15,-5.17969,1.32031,0.203125,0.0667505,
pipuck15,-4.97656,1.32031,0.203125,0.0643029,
pipuck15,-5.58594,1.11719,0.203125,0.499919,
pipuck15,-5.38281,1.11719,0.203125,0.260362,
pipuck15,-5.38281,0.914062,0.203125,0.26051,
pipuck15,-5.17969,1.11719,0.203125,0.187513,
pipuck15,-4.97656,1.11719,0.203125,0.0590546,
pipuck15,-5.17969,0.914062,0.203125,0.242477,
pipuck15,-4.97656,0.914062,0.203125,0.0995987,
pipuck15,-5.17969,0.710938,0.203125,0.486811,
pipuck15,-4.97656,0.710938,0.203125,0.446273,
pipuck15,-4.77344,1.52344,0.203125,0.873228,
pipuck15,-4.57031,1.52344,0.203125,0.873228,
pipuck15,-4.77344,1.32031,0.203125,0.781877,
pipuck15,-4.57031,1.32031,0.203125,0.842868,
pipuck15,-4.26562,1.42188,0.40625,0.867455,
pipuck15,-4.77344,1.11719,0.203125,0.850555,
pipuck15,-4.57031,1.11719,0.203125,0.873228,
pipuck15,-4.77344,0.914062,0.203125,0.172259,
pipuck15,-4.57031,0.914062,0.203125,0.105455,
pipuck15,-4.36719,1.11719,0.203125,0.542383,
pipuck15,-4.16406,1.11719,0.203125,0.627614,
pipuck15,-4.36719,0.914062,0.203125,0.119044,
pipuck15,-4.16406,0.914062,0.203125,0.0737471,
pipuck15,-3.85938,1.42188,0.40625,0.867754,
pipuck15,-3.55469,1.52344,0.203125,0.873228,
pipuck15,-3.35156,1.52344,0.203125,0.873228,
pipuck15,-3.55469,1.32031,0.203125,0.806643,
pipuck15,-3.35156,1.32031,0.203125,0.873228,
pipuck15,-3.96094,1.11719,0.203125,0.433111,
pipuck15,-3.75781,1.11719,0.203125,0.678557,
pipuck15,-3.96094,0.914062,0.203125,0.479367,
pipuck15,-3.75781,0.914062,0.203125,0.643988,
pipuck15,-3.55469,1.11719,0.203125,0.743562,
pipuck15,-3.35156,1.11719,0.203125,0.743562,
pipuck15,-3.55469,0.914062,0.203125,0.743562,
pipuck15,-3.35156,0.914062,0.203125,0.866502,
pipuck15,-4.77344,0.710938,0.203125,0.469207,
pipuck15,-4.57031,0.710938,0.203125,0.0942835,
pipuck15,-4.77344,0.507812,0.203125,0.499998,
pipuck15,-4.57031,0.507812,0.203125,0.209282,
pipuck15,-4.36719,0.710938,0.203125,0.10068,
pipuck15,-4.16406,0.710938,0.203125,0.159724,
pipuck15,-4.36719,0.507812,0.203125,0.21425,
pipuck15,-4.16406,0.507812,0.203125,0.255175,
pipuck15,-4.77344,0.304688,0.203125,0.299998,
pipuck15,-4.57031,0.304688,0.203125,0.258955,
pipuck15,-4.77344,0.101562,0.203125,0.499993,
pipuck15,-4.57031,0.101562,0.203125,0.44565,
pipuck15,-4.36719,0.304688,0.203125,0.44279,
pipuck15,-4.16406,0.304688,0.203125,0.42339,
pipuck15,-4.36719,0.101562,0.203125,0.530526,
pipuck15,-4.16406,0.101562,0.203125,0.269884,
pipuck15,-3.65625,0.40625,0.8125,0.71982,
pipuck15,-2.84375,2.84375,0.8125,0.854701,
pipuck15,-2.03125,2.84375,0.8125,0.85052,
pipuck15,-2.84375,2.03125,0.8125,0.866032,
pipuck15,-2.23438,2.23438,0.40625,0.865985,
pipuck15,-1.92969,2.33594,0.203125,0.873228,
pipuck15,-1.72656,2.33594,0.203125,0.820663,
pipuck15,-1.92969,2.13281,0.203125,0.810718,
pipuck15,-1.72656,2.13281,0.203125,0.815291,
pipuck15,-2.23438,1.82812,0.40625,0.867008,
pipuck15,-1.92969,1.92969,0.203125,0.873228,
pipuck15,-1.72656,1.92969,0.203125,0.633252,
pipuck15,-1.92969,1.72656,0.203125,0.873228,
pipuck15,-1.72656,1.72656,0.203125,0.7284,
pipuck15,-1.42188,3.04688,0.40625,0.848247,
pipuck15,-1.11719,3.14844,0.203125,0.348747,
pipuck15,-0.914062,3.14844,0.203125,0.164719,
pipuck15,-1.11719,2.94531,0.203125,0.350832,
pipuck15,-0.914062,2.94531,0.203125,0.153825,
pipuck15,-1.52344,2.74219,0.203125,0.702651,
pipuck15,-1.32031,2.74219,0.203125,0.67179,
pipuck15,-1.52344,2.53906,0.203125,0.641182,
pipuck15,-1.32031,2.53906,0.203125,0.595688,
pipuck15,-1.11719,2.74219,0.203125,0.0950465,
pipuck15,-0.914062,2.74219,0.203125,0.165086,
pipuck15,-1.11719,2.53906,0.203125,0.710171,
pipuck15,-0.914062,2.53906,0.203125,0.151619,
pipuck15,-0.710938,3.14844,0.203125,0.525387,
pipuck15,-0.507812,3.14844,0.203125,0.166751,
pipuck15,-0.710938,2.94531,0.203125,0.556174,
pipuck15,-0.507812,2.94531,0.203125,0.239767,
pipuck15,-0.304688,3.14844,0.203125,0.75092,
pipuck15,-0.101562,3.14844,0.203125,0.876738,
pipuck15,-0.304688,2.94531,0.203125,0.830291,
pipuck15,-0.101562,2.94531,0.203125,0.876738,
pipuck15,-0.710938,2.74219,0.203125,0.535297,
pipuck15,-0.507812,2.74219,0.203125,0.128245,
pipuck15,-0.710938,2.53906,0.203125,0.436561,
pipuck15,-0.507812,2.53906,0.203125,0.0619199,
pipuck15,-0.304688,2.74219,0.203125,0.236584,
pipuck15,-0.101562,2.74219,0.203125,0.876738,
pipuck15,-0.304688,2.53906,0.203125,0.187237,
pipuck15,-0.101562,2.53906,0.203125,0.876738,
pipuck15,-1.52344,2.33594,0.203125,0.820939,
pipuck15,-1.32031,2.33594,0.203125,0.617401,
pipuck15,-1.52344,2.13281,0.203125,0.684643,
pipuck15,-1.32031,2.13281,0.203125,0.853823,
pipuck15,-1.01562,2.23438,0.40625,0.819509,
pipuck15,-1.52344,1.92969,0.203125,0.853959,
pipuck15,-1.32031,1.92969,0.203125,0.799807,
pipuck15,-1.52344,1.72656,0.203125,0.850615,
pipuck15,-1.32031,1.72656,0.203125,0.745215,
pipuck15,-1.01562,1.82812,0.40625,0.821911,
pipuck15,-0.710938,2.33594,0.203125,0.0771253,
pipuck15,-0.507812,2.33594,0.203125,0.0726773,
pipuck15,-0.710938,2.13281,0.203125,0.739041,
pipuck15,-0.507812,2.13281,0.203125,0.714451,
pipuck15,-0.304688,2.33594,0.203125,0.624899,
pipuck15,-0.101562,2.33594,0.203125,0.876738,
pipuck15,-0.304688,2.13281,0.203125,0.876738,
pipuck15,-0.101562,2.13281,0.203125,0.876738,
pipuck15,-0.609375,1.82812,0.40625,0.818315,
pipuck15,-0.203125,1.82812,0.40625,0.812996,
pipuck15,-3.04688,1.42188,0.40625,0.867521,
pipuck15,-2.64062,1.42188,0.40625,0.867521,
pipuck15,-3.14844,1.11719,0.203125,0.670193,
pipuck15,-2.94531,1.11719,0.203125,0.852669,
pipuck15,-3.14844,0.914062,0.203125,0.707454,
pipuck15,-2.94531,0.914062,0.203125,0.477368,
pipuck15,-2.74219,1.11719,0.203125,0.873228,
pipuck15,-2.53906,1.11719,0.203125,0.873228,
pipuck15,-2.74219,0.914062,0.203125,0.254068,
pipuck15,-2.53906,0.914062,0.203125,0.66488,
pipuck15,-2.03125,1.21875,0.8125,0.854212,
pipuck15,-3.14844,0.710938,0.203125,0.132172,
pipuck15,-2.94531,0.710938,0.203125,0.0690003,
pipuck15,-3.14844,0.507812,0.203125,0.0828432,
pipuck15,-2.94531,0.507812,0.203125,0.0676836,
pipuck15,-2.74219,0.710938,0.203125,0.156185,
pipuck15,-2.53906,0.710938,0.203125,0.0704279,
pipuck15,-2.74219,0.507812,0.203125,0.281376,
pipuck15,-2.53906,0.507812,0.203125,0.0653404,
pipuck15,-3.14844,0.304688,0.203125,0.631087,
pipuck15,-2.94531,0.304688,0.203125,0.27303,
pipuck15,-3.14844,0.101562,0.203125,0.722677,
pipuck15,-2.94531,0.101562,0.203125,0.478169,
pipuck15,-2.74219,0.304688,0.203125,0.244066,
pipuck15,-2.53906,0.304688,0.203125,0.175172,
pipuck15,-2.74219,0.101562,0.203125,0.183445,
pipuck15,-2.53906,0.101562,0.203125,0.245742,
pipuck15,-2.33594,0.710938,0.203125,0.0656875,
pipuck15,-2.13281,0.710938,0.203125,0.161322,
pipuck15,-2.33594,0.507812,0.203125,0.163736,
pipuck15,-2.13281,0.507812,0.203125,0.208257,
pipuck15,-1.92969,0.710938,0.203125,0.0772861,
pipuck15,-1.72656,0.710938,0.203125,0.0548364,
pipuck15,-1.92969,0.507812,0.203125,0.0561676,
pipuck15,-1.72656,0.507812,0.203125,0.0548364,
pipuck15,-2.33594,0.304688,0.203125,0.275898,
pipuck15,-2.13281,0.304688,0.203125,0.161992,
pipuck15,-2.33594,0.101562,0.203125,0.499995,
pipuck15,-1.92969,0.304688,0.203125,0.0843091,
pipuck15,-1.72656,0.304688,0.203125,0.0615647,
pipuck15,-1.92969,0.101562,0.203125,0.0561676,
pipuck15,-1.72656,0.101562,0.203125,0.0619047,
pipuck15,-1.42188,1.42188,0.40625,0.856827,
pipuck15,-1.01562,1.42188,0.40625,0.85616,
pipuck15,-1.52344,1.11719,0.203125,0.861869,
pipuck15,-1.32031,1.11719,0.203125,0.867534,
pipuck15,-1.52344,0.914062,0.203125,0.456361,
pipuck15,-1.32031,0.914062,0.203125,0.560484,
pipuck15,-1.11719,1.11719,0.203125,0.859383,
pipuck15,-0.914062,1.11719,0.203125,0.847445,
pipuck15,-1.11719,0.914062,0.203125,0.279822,
pipuck15,-0.914062,0.914062,0.203125,0.841114,
pipuck15,-0.40625,1.21875,0.8125,0.85951,
pipuck15,-1.52344,0.710938,0.203125,0.0612253,
pipuck15,-1.32031,0.710938,0.203125,0.0551683,
pipuck15,-1.52344,0.507812,0.203125,0.820672,
pipuck15,-1.32031,0.507812,0.203125,0.836037,
pipuck15,-1.11719,0.710938,0.203125,0.587286,
pipuck15,-0.914062,0.710938,0.203125,0.873228,
pipuck15,-1.11719,0.507812,0.203125,0.871137,
pipuck15,-0.914062,0.507812,0.203125,0.871137,
pipuck15,-1.52344,0.304688,0.203125,0.815697,
pipuck15,-1.32031,0.304688,0.203125,0.873228,
pipuck15,-1.52344,0.101562,0.203125,0.873228,
pipuck15,-1.32031,0.101562,0.203125,0.873228,
pipuck15,-1.01562,0.203125,0.40625,0.850372,
pipuck15,-0.40625,0.40625,0.8125,0.87106,
pipuck15,0.101562,6.19531,0.203125,0.280902,
pipuck15,0.304688,6.19531,0.203125,0.154462,
pipuck15,0.507812,6.19531,0.203125,0.29768,
pipuck15,0.101562,5.99219,0.203125,0.0612649,
pipuck15,0.304688,5.99219,0.203125,0.0608175,
pipuck15,0.101562,5.78906,0.203125,0.0952269,
pipuck15,0.304688,5.78906,0.203125,0.462942,
pipuck15,0.507812,5.99219,0.203125,0.0608175,
pipuck15,0.710938,5.99219,0.203125,0.108231,
pipuck15,0.507812,5.78906,0.203125,0.118959,
pipuck15,0.710938,5.78906,0.203125,0.139565,
pipuck15,0.914062,5.78906,0.203125,0.493437,
pipuck15,0.101562,5.58594,0.203125,0.863917,
pipuck15,0.304688,5.58594,0.203125,0.630654,
pipuck15,0.101562,5.38281,0.203125,0.863917,
pipuck15,0.304688,5.38281,0.203125,0.83638,
pipuck15,0.507812,5.58594,0.203125,0.0821928,
pipuck15,0.710938,5.58594,0.203125,0.10859,
pipuck15,0.507812,5.38281,0.203125,0.431065,
pipuck15,0.710938,5.38281,0.203125,0.0670056,
pipuck15,0.101562,5.17969,0.203125,0.864452,
pipuck15,0.304688,5.17969,0.203125,0.642898,
pipuck15,0.101562,4.97656,0.203125,0.866055,
pipuck15,0.304688,4.97656,0.203125,0.866055,
pipuck15,0.507812,5.17969,0.203125,0.0888794,
pipuck15,0.710938,5.17969,0.203125,0.0687441,
pipuck15,0.507812,4.97656,0.203125,0.0516911,
pipuck15,0.710938,4.97656,0.203125,0.0516911,
pipuck15,0.914062,5.58594,0.203125,0.49996,
pipuck15,0.914062,5.38281,0.203125,0.493141,
pipuck15,0.914062,5.17969,0.203125,0.465542,
pipuck15,0.914062,4.97656,0.203125,0.499523,
pipuck15,0.101562,4.77344,0.203125,0.85665,
pipuck15,0.304688,4.77344,0.203125,0.848545,
pipuck15,0.101562,4.57031,0.203125,0.847991,
pipuck15,0.304688,4.57031,0.203125,0.503176,
pipuck15,0.507812,4.77344,0.203125,0.0461062,
pipuck15,0.710938,4.77344,0.203125,0.0507595,
pipuck15,0.507812,4.57031,0.203125,0.168343,
pipuck15,0.710938,4.57031,0.203125,0.0909823,
pipuck15,0.101562,4.36719,0.203125,0.876317,
pipuck15,0.304688,4.36719,0.203125,0.49912,
pipuck15,0.101562,4.16406,0.203125,0.876738,
pipuck15,0.304688,4.16406,0.203125,0.496946,
pipuck15,0.507812,4.36719,0.203125,0.0981928,
pipuck15,0.710938,4.36719,0.203125,0.140266,
pipuck15,0.507812,4.16406,0.203125,0.187996,
pipuck15,0.710938,4.16406,0.203125,0.107872,
pipuck15,0.914062,4.77344,0.203125,0.299972,
pipuck15,0.914062,4.57031,0.203125,0.500037,
pipuck15,0.914062,4.36719,0.203125,0.50273,
pipuck15,0.914062,4.16406,0.203125,0.483456,
pipuck15,1.11719,4.16406,0.203125,0.502014,
pipuck15,0.101562,3.96094,0.203125,0.865592,
pipuck15,0.304688,3.96094,0.203125,0.533663,
pipuck15,0.101562,3.75781,0.203125,0.876738,
pipuck15,0.304688,3.75781,0.203125,0.876451,
pipuck15,0.507812,3.96094,0.203125,0.364886,
pipuck15,0.710938,3.96094,0.203125,0.074305,
pipuck15,0.507812,3.75781,0.203125,0.835545,
pipuck15,0.710938,3.75781,0.203125,0.0813757,
pipuck15,0.203125,3.45312,0.40625,0.874628,
pipuck15,0.507812,3.55469,0.203125,0.87572,
pipuck15,0.710938,3.55469,0.203125,0.780463,
