agent_id,box_x,box_y,box_size,pheromone
pipuck15,-5.38281,3.75781,0.203125,0.406421,
pipuck15,-4.97656,3.96094,0.203125,0.104972,
pipuck15,-5.17969,3.75781,0.203125,0.104607,
pipuck15,-4.97656,3.75781,0.203125,0.104607,
pipuck15,-5.38281,3.55469,0.203125,0.403755,
pipuck15,-5.38281,3.35156,0.203125,0.298325,
pipuck15,-5.17969,3.55469,0.203125,0.103874,
pipuck15,-4.97656,3.55469,0.203125,0.117543,
pipuck15,-5.17969,3.35156,0.203125,0.0687441,
pipuck15,-4.97656,3.35156,0.203125,0.0581154,
pipuck15,-4.57031,4.16406,0.203125,0.139648,
pipuck15,-4.36719,4.36719,0.203125,0.49808,
pipuck15,-4.16406,4.36719,0.203125,0.49808,
pipuck15,-4.36719,4.16406,0.203125,0.123522,
pipuck15,-4.16406,4.16406,0.203125,0.250888,
pipuck15,-3.75781,4.36719,0.203125,0.499752,
pipuck15,-3.96094,4.16406,0.203125,0.094475,
pipuck15,-3.75781,4.16406,0.203125,0.154557,
pipuck15,-3.55469,4.36719,0.203125,0.499656,
pipuck15,-3.55469,4.16406,0.203125,0.480004,
pipuck15,-3.35156,4.16406,0.203125,0.681996,
pipuck15,-4.77344,3.96094,0.203125,0.105337,
pipuck15,-4.57031,3.96094,0.203125,0.406495,
pipuck15,-4.77344,3.75781,0.203125,0.0726083,
pipuck15,-4.57031,3.75781,0.203125,0.0550279,
pipuck15,-4.36719,3.96094,0.203125,0.0569951,
pipuck15,-4.16406,3.96094,0.203125,0.0596525,
pipuck15,-4.36719,3.75781,0.203125,0.129173,
pipuck15,-4.16406,3.75781,0.203125,0.186696,
pipuck15,-4.77344,3.55469,0.203125,0.237694,
pipuck15,-4.57031,3.55469,0.203125,0.154676,
pipuck15,-4.77344,3.35156,0.203125,0.539264,
pipuck15,-4.57031,3.35156,0.203125,0.834949,
pipuck15,-4.36719,3.55469,0.203125,0.417023,
pipuck15,-4.16406,3.55469,0.203125,0.7588,
pipuck15,-4.36719,3.35156,0.203125,0.872529,
pipuck15,-4.16406,3.35156,0.203125,0.872529,
pipuck15,-3.96094,3.96094,0.203125,0.764723,
pipuck15,-3.75781,3.96094,0.203125,0.211514,
pipuck15,-3.96094,3.75781,0.203125,0.872529,
pipuck15,-3.75781,3.75781,0.203125,0.073882,
pipuck15,-3.55469,3.96094,0.203125,0.570223,
pipuck15,-3.35156,3.96094,0.203125,0.747148,
pipuck15,-3.55469,3.75781,0.203125,0.638179,
pipuck15,-3.35156,3.75781,0.203125,0.867592,
pipuck15,-3.96094,3.55469,0.203125,0.772468,
pipuck15,-3.75781,3.55469,0.203125,0.84808,
pipuck15,-3.96094,3.35156,0.203125,0.766333,
pipuck15,-3.75781,3.35156,0.203125,0.842892,
pipuck15,-3.55469,3.55469,0.203125,0.811342,
pipuck15,-3.35156,3.55469,0.203125,0.861057,
pipuck15,-3.55469,3.35156,0.203125,0.856441,
pipuck15,-3.35156,3.35156,0.203125,0.753993,
pipuck15,-2.74219,5.78906,0.203125,0.0909823,
pipuck15,-2.53906,5.78906,0.203125,0.100914,
pipuck15,-2.33594,5.99219,0.203125,0.496691,
pipuck15,-2.13281,5.99219,0.203125,0.497941,
pipuck15,-2.33594,5.78906,0.203125,0.0608175,
pipuck15,-2.13281,5.78906,0.203125,0.0521556,
pipuck15,-1.72656,5.99219,0.203125,0.435166,
pipuck15,-1.92969,5.78906,0.203125,0.0512257,
pipuck15,-1.72656,5.78906,0.203125,0.0780763,
pipuck15,-2.94531,5.58594,0.203125,0.472954,
pipuck15,-2.94531,5.38281,0.203125,0.494676,
pipuck15,-2.74219,5.58594,0.203125,0.0793194,
pipuck15,-2.53906,5.58594,0.203125,0.0599202,
pipuck15,-2.74219,5.38281,0.203125,0.0747272,
pipuck15,-2.53906,5.38281,0.203125,0.361528,
pipuck15,-2.94531,5.17969,0.203125,0.502674,
pipuck15,-2.94531,4.97656,0.203125,0.500937,
pipuck15,-2.74219,5.17969,0.203125,0.075989,
